Team1,Team2,Stadium,Distance
Austria,Denmark,Ernst Happel Stadium,0.9132589873772423
Austria,Norway,Ernst Happel Stadium,1.4172850076388068
Austria,Czechia,Ernst Happel Stadium,0.3014154052558384
Denmark,Austria,Parken,0.9132589873772423
Denmark,Norway,Parken,0.5055014862947345
Denmark,Czechia,Parken,0.6395882994897463
Norway,Austria,Ullevaal Stadion,1.4172850076388068
Norway,Denmark,Ullevaal Stadion,0.5055014862947345
Norway,Czechia,Ullevaal Stadion,1.1443803433208435
Czechia,Austria,Stadion Letná,0.3014154052558384
Czechia,Denmark,Stadion Letná,0.6395882994897463
Czechia,Norway,Stadion Letná,1.1443803433208435
England,Belgium,Wembley Stadium,0.5181692033136854
England,Netherlands,Wembley Stadium,0.5866101283021755
England,France,Wembley Stadium,0.4143823114195546
Belgium,England,King Baudouin Stadium,0.5181692033136854
Belgium,Netherlands,King Baudouin Stadium,0.17113477578642625
Belgium,France,King Baudouin Stadium,0.30992477222378867
Netherlands,England,Johan Cruyff Arena,0.5866101283021755
Netherlands,Belgium,Johan Cruyff Arena,0.17113477578642625
Netherlands,France,Johan Cruyff Arena,0.4731734411521739
France,England,Stade de France,0.4143823114195546
France,Belgium,Stade de France,0.30992477222378867
France,Netherlands,Stade de France,0.4731734411521739
Switzerland,Portugal,STADE DE SUISSE Wankdorf Bern,2.07248393887663
Switzerland,Spain,STADE DE SUISSE Wankdorf Bern,0.8574150559971383
Switzerland,Scotland,STADE DE SUISSE Wankdorf Bern,1.6323209909292051
Portugal,Switzerland,Estádio Nacional,2.07248393887663
Portugal,Spain,Estádio Nacional,0.3938653021151971
Portugal,Scotland,Estádio Nacional,1.9697888605641696
Spain,Switzerland,Camp Nou,0.8574150559971383
Spain,Portugal,Ramon Sanchez-Pizjuan Stadium, Calle Sevilla Fútbol Club,0.3938653021151971
Spain,Scotland,Santiago Bernabéu,1.7063866983971068
Scotland,Switzerland,Hampden Park,1.6323209909292051
Scotland,Portugal,Hampden Park,1.9697888605641696
Scotland,Spain,Hampden Park,1.7063866983971068
Germany,TÃ¼rkiye,Olympiastadion,3.49096741590615
Germany,Italy,Olympiastadion,5.134962899926845
Germany,Israel,Olympiastadion,2.4682055126183275
TÃ¼rkiye,Germany,Atatürk Olympic Stadium,3.49096741590615
TÃ¼rkiye,Italy,Atatürk Olympic Stadium,1.8158653525038815
TÃ¼rkiye,Israel,Atatürk Olympic Stadium,1.0822707841593902
Italy,Germany,Stadio Olimpico,5.134962899926845
